ds,yhat
2016,35184230737.76158
2017,35705238853.388885
2018,36225969802.03189
2019,36746335268.137856
2020,36979766207.22547
2021,37500774322.85205
2022,38021505271.49506
2023,38541870737.60152
2024,38775301676.68805
2025,39296309792.31562
2026,39817040740.958435
2027,40337406207.06448
2028,40570837146.15148
2029,41091845261.77965
2030,41612576210.421646
2031,42132941676.52878
2032,42366372615.61562
2033,42887380731.24248
2034,43408111679.88636
2035,43928477145.99188
2036,44161908085.078186
2037,44682916200.705154
2038,45203647149.34904
2039,45724012615.45446
2040,45957443554.54146
2041,46478451670.16948
2042,46999182618.81185
2043,47519548084.918976
2044,47752979024.006004
2045,48273987139.63259
2046,48794718088.27522
2047,49315083554.38209
2048,49548514493.46873
2049,50069522609.09532
2050,50590253557.73882
2051,51110619023.844826
2052,51344049962.931526
2053,51865058078.55928
2054,52385789027.20284
2055,52906154493.30813
2056,53139585432.395004
2057,53660593548.02316
2058,54181324496.66524
2059,54701689962.77245
2060,54935120901.85903
2061,55456129017.48603
2062,55976859966.12991
2063,56497225432.23518
2064,56730656371.32214
2065,57251664486.948494
2066,57772395435.59223
2067,58292760901.69815
2068,58526191840.78474
2069,59047199956.4129
2070,59567930905.05532
2071,60088296371.16295
2072,60321727310.24903
2073,60842735425.87599
2074,61363466374.51893
2075,61883831840.62642
2076,62117262779.71251
2077,62638270895.33831
2078,63159001843.981964
2079,63679367310.08815
2080,63912798249.175606
2081,64433806364.8034
2082,64954537313.44519
2083,65474902779.55139
2084,65708333718.63806
2085,66229341834.26586
2086,66750072782.91008
2087,67270438249.015015
2088,67503869188.10252
2089,68024877303.7303
2090,68545608252.37169
2091,69065973718.47845
2092,69299404657.56639
2093,69820412773.19264
2094,70341143721.83542
2095,70861509187.94325
2096,71094940127.02823
2097,71615948242.65639
2098,72136679191.30023
2099,72657044657.40488
2100,73176956866.9815
2101,73696328714.68336
2102,74215073889.83835
2103,74733107001.22838
2104,74972492336.44594
2105,75491864184.14551
2106,76010609359.30319
2107,76528642470.69214
2108,76768027805.90807
2109,77287399653.60999
2110,77806144828.7662
2111,78324177940.1536
2112,78563563275.37186
2113,79082935123.07407
2114,79601680298.22809
2115,80119713409.6178
