ds,yhat
2016,52244077520.8283
2017,52866394867.50615
2018,53487280413.26394
2019,54106636255.40047
2020,54402612925.35155
2021,55024930272.02855
2022,55645815817.78635
2023,56265171659.9234
2024,56561148329.87327
2025,57183465676.55141
2026,57804351222.30899
2027,58423707064.44562
2028,58719683734.395966
2029,59342001081.07481
2030,59962886626.83142
2031,60582242468.96926
2032,60878219138.91948
2033,61500536485.59683
2034,62121422031.35557
2035,62740777873.49158
2036,63036754543.44119
2037,63659071890.118675
2038,64279957435.87745
2039,64899313278.01337
2040,65195289947.96373
2041,65817607294.642365
2042,66438492840.39942
2043,67057848682.53727
2044,67353825352.487686
2045,67976142699.164696
2046,68597028244.92208
2047,69216384087.05959
2048,69512360757.0096
2049,70134678103.68663
2050,70755563649.44499
2051,71374919491.58156
2052,71670896161.53157
2053,72293213508.20993
2054,72914099053.9683
2055,73533454896.10406
2056,73829431566.05432
2057,74451748912.73315
2058,75072634458.48988
2059,75691990300.62778
2060,75987966970.57773
2061,76610284317.25522
2062,77231169863.01398
2063,77850525705.1497
2064,78146502375.10005
2065,78768819721.77682
2066,79389705267.53542
2067,80009061109.67189
2068,80305037779.62178
2069,80927355126.30063
2070,81548240672.05774
2071,82167596514.1961
2072,82463573184.14551
2073,83085890530.82294
2074,83706776076.58063
2075,84326131918.71883
2076,84622108588.66827
2077,85244425935.34436
2078,85865311481.10294
2079,86484667323.23969
2080,86780643993.19057
2081,87402961339.86897
2082,88023846885.6254
2083,88643202727.76219
2084,88939179397.71214
2085,89561496744.3906
2086,90182382290.1497
2087,90801738132.2851
2088,91097714802.23604
2089,91720032148.91444
2090,92340917694.67032
2091,92960273536.80775
2092,93256250206.75925
2093,93878567553.43584
2094,94499453099.19344
2095,95118808941.33197
2096,95414785611.28014
2097,96037102957.95895
2098,96657988503.7177
2099,97277344345.8527
2100,97895075053.06462
2101,98511087801.67278
2102,99125292507.58661
2103,99737601953.81627
2104,100053610457.58844
2105,100669623206.1941
2106,101283827912.11076
2107,101896137358.33939
2108,102212145862.10973
2109,102828158610.71791
2110,103442363316.63315
2111,104054672762.86003
2112,104370681266.63278
2113,104986694015.24126
2114,105600898721.15416
2115,106213208167.38347
